ticker,horizon,variant,date,proba_dir,y_dir,vol_pred,y_vol,fwd_return
SPY,5,early_fusion,2022-01-10,0.54277694,0.0,0.013316194,0.024524465,-0.01956678463456069
SPY,5,early_fusion,2022-01-11,0.54287213,0.0,0.0133177955,0.02506374,-0.03907180289334803
SPY,5,early_fusion,2022-01-12,0.54282117,0.0,0.013313771,0.027290566,-0.05290150831487223
SPY,5,early_fusion,2022-01-13,0.54245543,0.0,0.01331712,0.030746212,-0.05885263831619501
SPY,5,early_fusion,2022-01-14,0.5429173,0.0,0.013307428,0.031034162,-0.05502432736952029
SPY,5,early_fusion,2022-01-18,0.54265195,0.0,0.013316199,0.028191073,-0.049439932102930885
SPY,5,early_fusion,2022-01-19,0.54221886,0.0,0.013327956,0.026307685,-0.04151387662437606
SPY,5,early_fusion,2022-01-20,0.5425087,0.0,0.0133194225,0.02434597,-0.03533431113451701
SPY,5,early_fusion,2022-01-21,0.5424751,1.0,0.01332254,0.02831046,0.009023271439839201
SPY,5,early_fusion,2022-01-24,0.54264027,1.0,0.013329193,0.03319908,0.022636568177736956
SPY,5,early_fusion,2022-01-25,0.54290235,1.0,0.013315026,0.031569507,0.04165484084499177
SPY,5,early_fusion,2022-01-26,0.5430703,1.0,0.0133064585,0.032920755,0.053833881005428824
SPY,5,early_fusion,2022-01-27,0.5422336,1.0,0.013334422,0.040311564,0.03499862758967197
SPY,5,early_fusion,2022-01-28,0.54286575,1.0,0.013332364,0.032329787,0.015157887924312573
SPY,5,early_fusion,2022-01-31,0.54234934,0.0,0.013346111,0.02714577,-0.005907271933731606
SPY,5,early_fusion,2022-02-01,0.54219747,0.0,0.013336998,0.027544191,-0.00444763829813227
SPY,5,early_fusion,2022-02-02,0.5421274,1.0,0.013336613,0.029603396,0.0004156278983442112
SPY,5,early_fusion,2022-02-03,0.5427032,1.0,0.013294714,0.025284028,0.006071834725706306
SPY,5,early_fusion,2022-02-04,0.54291207,0.0,0.01330734,0.031841822,-0.01853480511095419
SPY,5,early_fusion,2022-02-07,0.5425147,0.0,0.013322616,0.031847976,-0.01859518296836025
SPY,5,early_fusion,2022-02-08,0.54278636,0.0,0.013315071,0.034685556,-0.01079114790587734
SPY,5,early_fusion,2022-02-09,0.5423744,0.0,0.013340019,0.031515267,-0.02420115099991109
SPY,5,early_fusion,2022-02-10,0.5426344,0.0,0.013305109,0.03362726,-0.027664715488752892
SPY,5,early_fusion,2022-02-11,0.54229647,0.0,0.013304598,0.027863346,-0.014245391949341707
SPY,5,early_fusion,2022-02-14,0.5426353,0.0,0.013304315,0.029699443,-0.02176027885796299
SPY,5,early_fusion,2022-02-15,0.5423789,0.0,0.013331252,0.03076448,-0.055656041718002904
SPY,5,early_fusion,2022-02-16,0.54229826,0.0,0.013329906,0.03418046,-0.041839660125493346
SPY,5,early_fusion,2022-02-17,0.5422521,1.0,0.013310632,0.034327235,0.0015777001918271495
SPY,5,early_fusion,2022-02-18,0.5426978,1.0,0.013302789,0.033804193,0.005511741047501451
SPY,5,early_fusion,2022-02-22,0.54263824,1.0,0.0133035835,0.035522547,0.0009539019346971057
SPY,5,early_fusion,2022-02-23,0.54256696,1.0,0.013306937,0.03569065,0.03708085850697355
SPY,5,early_fusion,2022-02-24,0.54270715,1.0,0.013322212,0.03279672,0.017153345815570726
SPY,5,early_fusion,2022-02-25,0.5424693,0.0,0.013340158,0.025804443,-0.012829106753969572
SPY,5,early_fusion,2022-02-28,0.5422904,0.0,0.013320206,0.039429147,-0.04018943173158877
SPY,5,early_fusion,2022-03-01,0.54262495,0.0,0.013306452,0.037108433,-0.03245258771879493
SPY,5,early_fusion,2022-03-02,0.5424897,0.0,0.013333499,0.041770052,-0.024224165901678443
SPY,5,early_fusion,2022-03-03,0.5422562,0.0,0.013325589,0.041717034,-0.02375903334686402
SPY,5,early_fusion,2022-03-04,0.5426034,0.0,0.013308286,0.04286621,-0.02839769126745705
