ticker,horizon,model,accuracy,f1,cohen_kappa,pt_p_value,rmse_rv,mae_rv,sharpe_ratio,sortino_ratio,colapsado
GS,5,arima_garch,0.515274949083503,0.524,0.030224066390041493,0.2513002657983825,0.01651126512213641,0.013011243349815352,0.011324305146711518,0.01601546401110233,False
GS,5,naive_persistente,0.5234215885947047,0.5282258064516129,0.046807592752372784,0.1495459752886401,0.02041560024079553,0.015584586835563997,0.13435799907793944,0.18639196166169175,False
GS,5,random_walk,0.5091649694501018,0.6747638326585695,0.0,,0.01513371861368926,0.011895165915053013,0.0580679039179126,0.08041529267966331,True
GS,20,arima_garch,0.4880694143167028,0.4847161572052402,-0.021980912301795996,0.6823373701195676,0.01994441113419001,0.016453351439077012,-0.21181537954649354,-0.2862038444782378,False
GS,20,naive_persistente,0.48590021691973967,0.4697986577181208,-0.028756249823451263,0.7318987893684163,0.024199925561733036,0.019469726325243467,-0.15620270898354158,-0.2139860843185768,False
GS,20,random_walk,0.4750542299349241,0.6441176470588236,0.0,,0.01743477536499409,0.015237755732279024,0.15969271796873996,0.2511140699718625,True
GS,60,arima_garch,0.46981627296587924,0.5144230769230769,-0.06699015666158314,0.9057910067068113,0.022712846359941936,0.0192716447150059,-0.10130817877424862,-0.13779136546363294,False
GS,60,naive_persistente,0.4356955380577428,0.4691358024691358,-0.12655233589591952,0.9938342148900087,0.01991900114483246,0.01628986344474251,-0.35762135751880614,-0.444367381653513,False
GS,60,random_walk,0.5695538057742782,0.725752508361204,0.0,,0.020575923517399855,0.01785067863019088,0.40074279574596533,0.6722450715616574,True
KO,5,arima_garch,0.49490835030549896,0.5020080321285141,-0.010321595698781882,0.590555805507523,0.011081609857189268,0.008082171753433577,0.01496304310553661,0.021622625112392133,False
KO,5,naive_persistente,0.5071283095723014,0.5254901960784314,0.013040733603561727,0.38613300087845914,0.01362841472997161,0.009442237075184576,-0.1568373316197913,-0.21266281810595314,False
KO,5,random_walk,0.5112016293279023,0.6765498652291105,0.0,,0.01112735443641994,0.007865768022536615,0.07904945828546336,0.10937408274508512,True
KO,20,arima_garch,0.4685466377440347,0.4842105263157895,-0.062082130464628626,0.9097077426496025,0.017195601122154482,0.013628091398507838,-0.04362631442856237,-0.062016391642019136,False
KO,20,naive_persistente,0.5075921908893709,0.5357873210633947,0.011654593364248456,0.4010748513070419,0.021228615227410395,0.01627245380151084,0.0011866593572465104,0.0016521135824699327,False
KO,20,random_walk,0.5357917570498916,0.6977401129943502,0.0,,0.017190996561836466,0.013502023949755951,0.04829919285263925,0.06748437522430234,True
KO,60,arima_garch,0.5118110236220472,0.4685714285714286,0.022430061248137734,0.32880383154569426,0.020909349396215145,0.01738791973269035,0.039887348208297986,0.05655339800169296,False
KO,60,naive_persistente,0.4356955380577428,0.3909348441926346,-0.12723444660033856,0.9941371642869303,0.023423933608572176,0.021080020384834457,-0.3102738222025593,-0.39213869391137407,False
KO,60,random_walk,0.4225721784776903,0.5940959409594095,0.0,,0.020193934144117846,0.01599055025121303,-0.33389229575753726,-0.4240351584076003,True
QQQ,5,arima_garch,0.5560081466395111,0.712401055408971,0.007013377367942719,0.24293512873963108,0.012768218436932046,0.009666313110948767,0.15618437328740303,0.2162762452475811,False
QQQ,5,naive_persistente,0.48879837067209775,0.5182341650671785,-0.023979061941755475,0.7034120448951332,0.014503257996848328,0.010899127873039344,-0.2903141858030507,-0.38752509997472273,False
QQQ,5,random_walk,0.5539714867617108,0.7129750982961992,0.0,,0.01777424965834688,0.013022938763059053,0.17412061324734687,0.2419771188779637,True
QQQ,20,arima_garch,0.5770065075921909,0.7317744154057771,0.0,,0.020120803714337956,0.015286629608858642,0.3272587718155639,0.4702629583049361,True
QQQ,20,naive_persistente,0.5075921908893709,0.5432595573440644,0.014855260061190756,0.37332833994985837,0.016607669508128205,0.01248655973330199,0.0742796226012651,0.1053123207535206,False
