ticker,horizon,variant,baseline,dm_statistic,dm_p_value,mean_loss_diff
GS,5,price_only,random_walk,2.4268191983672525,0.015591449248547828,0.0017636863224575288
GS,5,price_only,naive_persistente,2.222538034697216,0.02670265308560471,0.0015759190283438833
GS,5,price_only,arima_garch,2.3776509886757236,0.017806013726784364,0.001720093885602375
GS,5,text_only,random_walk,2.9631438314630754,0.0031932567761148167,0.00376946035625304
GS,5,text_only,naive_persistente,2.829617443895576,0.004851620793935751,0.0035816930621393947
GS,5,text_only,arima_garch,2.9369933760334783,0.003470105226041742,0.0037258679193978867
GS,5,early_fusion,random_walk,0.14705805358532845,0.8831466843811455,4.6383607875365367e-07
GS,5,early_fusion,naive_persistente,-3.7025121379646593,0.00023772827800372376,-0.00018730345803489207
GS,5,early_fusion,arima_garch,-2.0916072923165467,0.03698791376461985,-4.31286007763998e-05
GS,5,late_fusion,random_walk,5.087150790249252,5.186353924102605e-07,0.00022354888774127
GS,5,late_fusion,naive_persistente,0.6167274102467899,0.5377009699598474,3.578159362762427e-05
GS,5,late_fusion,arima_garch,3.600725371321352,0.0003496639166882254,0.00017995645088611653
GS,5,cross_attention,random_walk,8.3752055915807,6.661338147750939e-16,0.0009105977289618316
GS,5,cross_attention,naive_persistente,6.602292164011439,1.0549250362146267e-10,0.0007228304348481859
GS,5,cross_attention,arima_garch,7.690030468932743,8.126832540256146e-14,0.0008670052921066782
GS,20,price_only,random_walk,2.420541941072082,0.015883678325822714,0.0002524499637709598
GS,20,price_only,naive_persistente,-0.2371519291392282,0.8126445061895686,-2.9215041394655438e-05
GS,20,price_only,arima_garch,1.4334860122505337,0.15239832463602432,0.00015864182030916223
GS,20,text_only,random_walk,3.2814644458760185,0.0011112530649410868,0.007963391091549248
GS,20,text_only,naive_persistente,3.179883278787116,0.0015728348279329118,0.007681726086383631
GS,20,text_only,arima_garch,3.252929803173126,0.0012262703089049865,0.007869582948087449
GS,20,early_fusion,random_walk,0.3696380939607229,0.7118222686225741,2.159020465413707e-06
GS,20,early_fusion,naive_persistente,-2.229822892923592,0.026241082014983208,-0.0002795059847002016
GS,20,early_fusion,arima_garch,-1.595476341790361,0.11129252135795742,-9.164912299638387e-05
GS,20,late_fusion,random_walk,3.5903654758634107,0.00036572807217161163,0.0006587718808604562
GS,20,late_fusion,naive_persistente,1.6820639843829286,0.09323509067410685,0.00037710687569484096
GS,20,late_fusion,arima_garch,2.8018338868871755,0.005295675326996596,0.0005649637373986586
GS,20,cross_attention,random_walk,3.0216706304585084,0.0026540235733372164,0.00031516983336142475
