ticker,horizon,model,date,dir_pred,vol_pred,y_dir,y_vol,fwd_return
SPY,5,random_walk,2022-01-10,1.0,0.018634946454518492,0.0,0.024524465,-0.01956678463456069
SPY,5,random_walk,2022-01-11,1.0,0.018634946454518492,0.0,0.02506374,-0.03907180289334803
SPY,5,random_walk,2022-01-12,1.0,0.018634946454518492,0.0,0.027290566,-0.05290150831487223
SPY,5,random_walk,2022-01-13,1.0,0.018634946454518492,0.0,0.030746212,-0.05885263831619501
SPY,5,random_walk,2022-01-14,1.0,0.018634946454518492,0.0,0.031034162,-0.05502432736952029
SPY,5,random_walk,2022-01-18,1.0,0.018634946454518492,0.0,0.028191073,-0.049439932102930885
SPY,5,random_walk,2022-01-19,1.0,0.018634946454518492,0.0,0.026307685,-0.04151387662437606
SPY,5,random_walk,2022-01-20,1.0,0.018634946454518492,0.0,0.02434597,-0.03533431113451701
SPY,5,random_walk,2022-01-21,1.0,0.018634946454518492,1.0,0.02831046,0.009023271439839201
SPY,5,random_walk,2022-01-24,1.0,0.018634946454518492,1.0,0.03319908,0.022636568177736956
SPY,5,random_walk,2022-01-25,1.0,0.018634946454518492,1.0,0.031569507,0.04165484084499177
SPY,5,random_walk,2022-01-26,1.0,0.018634946454518492,1.0,0.032920755,0.053833881005428824
SPY,5,random_walk,2022-01-27,1.0,0.018634946454518492,1.0,0.040311564,0.03499862758967197
SPY,5,random_walk,2022-01-28,1.0,0.018634946454518492,1.0,0.032329787,0.015157887924312573
SPY,5,random_walk,2022-01-31,1.0,0.018634946454518492,0.0,0.02714577,-0.005907271933731606
SPY,5,random_walk,2022-02-01,1.0,0.018634946454518492,0.0,0.027544191,-0.00444763829813227
SPY,5,random_walk,2022-02-02,1.0,0.018634946454518492,1.0,0.029603396,0.0004156278983442112
SPY,5,random_walk,2022-02-03,1.0,0.018634946454518492,1.0,0.025284028,0.006071834725706306
SPY,5,random_walk,2022-02-04,1.0,0.018634946454518492,0.0,0.031841822,-0.01853480511095419
SPY,5,random_walk,2022-02-07,1.0,0.018634946454518492,0.0,0.031847976,-0.01859518296836025
SPY,5,random_walk,2022-02-08,1.0,0.018634946454518492,0.0,0.034685556,-0.01079114790587734
SPY,5,random_walk,2022-02-09,1.0,0.018634946454518492,0.0,0.031515267,-0.02420115099991109
SPY,5,random_walk,2022-02-10,1.0,0.018634946454518492,0.0,0.03362726,-0.027664715488752892
SPY,5,random_walk,2022-02-11,1.0,0.018634946454518492,0.0,0.027863346,-0.014245391949341707
SPY,5,random_walk,2022-02-14,1.0,0.018634946454518492,0.0,0.029699443,-0.02176027885796299
SPY,5,random_walk,2022-02-15,1.0,0.018634946454518492,0.0,0.03076448,-0.055656041718002904
SPY,5,random_walk,2022-02-16,1.0,0.018634946454518492,0.0,0.03418046,-0.041839660125493346
SPY,5,random_walk,2022-02-17,1.0,0.018634946454518492,1.0,0.034327235,0.0015777001918271495
SPY,5,random_walk,2022-02-18,1.0,0.018634946454518492,1.0,0.033804193,0.005511741047501451
SPY,5,random_walk,2022-02-22,1.0,0.018634946454518492,1.0,0.035522547,0.0009539019346971057
SPY,5,random_walk,2022-02-23,1.0,0.018634946454518492,1.0,0.03569065,0.03708085850697355
SPY,5,random_walk,2022-02-24,1.0,0.018634946454518492,1.0,0.03279672,0.017153345815570726
SPY,5,random_walk,2022-02-25,1.0,0.018634946454518492,0.0,0.025804443,-0.012829106753969572
SPY,5,random_walk,2022-02-28,1.0,0.018634946454518492,0.0,0.039429147,-0.04018943173158877
SPY,5,random_walk,2022-03-01,1.0,0.018634946454518492,0.0,0.037108433,-0.03245258771879493
SPY,5,random_walk,2022-03-02,1.0,0.018634946454518492,0.0,0.041770052,-0.024224165901678443
SPY,5,random_walk,2022-03-03,1.0,0.018634946454518492,0.0,0.041717034,-0.02375903334686402
SPY,5,random_walk,2022-03-04,1.0,0.018634946454518492,0.0,0.04286621,-0.02839769126745705
SPY,5,random_walk,2022-03-07,1.0,0.018634946454518492,0.0,0.031558882,-0.005810358889669829
SPY,5,random_walk,2022-03-08,1.0,0.018634946454518492,1.0,0.03756591,0.023552300003211922
SPY,5,random_walk,2022-03-09,1.0,0.018634946454518492,1.0,0.034528293,0.019026637810411282
SPY,5,random_walk,2022-03-10,1.0,0.018634946454518492,1.0,0.03641855,0.035985687149966826
SPY,5,random_walk,2022-03-11,1.0,0.018634946454518492,1.0,0.035794087,0.05967541848741641
SPY,5,random_walk,2022-03-14,1.0,0.018634946454518492,1.0,0.035035674,0.06671793939819097
SPY,5,random_walk,2022-03-15,1.0,0.018634946454518492,1.0,0.029827574,0.05659941643969297
SPY,5,random_walk,2022-03-16,1.0,0.018634946454518492,1.0,0.024014324,0.02170552969890332
SPY,5,random_walk,2022-03-17,1.0,0.018634946454518492,1.0,0.025415702,0.024234069272579768
SPY,5,random_walk,2022-03-18,1.0,0.018634946454518492,1.0,0.023474028,0.018212496243279076
SPY,5,random_walk,2022-03-21,1.0,0.018634946454518492,1.0,0.024519065,0.025593119085607206
SPY,5,random_walk,2022-03-22,1.0,0.018634946454518492,1.0,0.024839658,0.026254424368033477
SPY,5,random_walk,2022-03-23,1.0,0.018634946454518492,1.0,0.0220763,0.03302228295675664
SPY,5,random_walk,2022-03-24,1.0,0.018634946454518492,1.0,0.022451935,0.0025495233196573402
SPY,5,random_walk,2022-03-25,1.0,0.018634946454518492,1.0,0.022099024,0.0005080592841295688
SPY,5,random_walk,2022-03-28,1.0,0.018634946454518492,1.0,0.022602854,0.0019501119466685463
SPY,5,random_walk,2022-03-29,1.0,0.018634946454518492,0.0,0.022832327,-0.023056628792146913
SPY,5,random_walk,2022-03-30,1.0,0.018634946454518492,0.0,0.024164917,-0.026912150068438282
SPY,5,random_walk,2022-03-31,1.0,0.018634946454518492,0.0,0.01919952,-0.00637497795987758
SPY,5,random_walk,2022-04-01,1.0,0.018634946454518492,0.0,0.019177629,-0.011882570505099702
SPY,5,random_walk,2022-04-04,1.0,0.018634946454518492,0.0,0.024335913,-0.037652648905462174
SPY,5,random_walk,2022-04-05,1.0,0.018634946454518492,0.0,0.02108141,-0.02865296050288886
SPY,5,random_walk,2022-04-06,1.0,0.018634946454518492,0.0,0.02175154,-0.007214797683091885
SPY,5,random_walk,2022-04-07,1.0,0.018634946454518492,0.0,0.024593985,-0.024771055216297428
SPY,5,random_walk,2022-04-08,1.0,0.018634946454518492,0.0,0.024451254,-0.021682528913219604
SPY,5,random_walk,2022-04-11,1.0,0.018634946454518492,1.0,0.023602648,0.011571167858428008
SPY,5,random_walk,2022-04-12,1.0,0.018634946454518492,1.0,0.023320705,0.014541475119646607
SPY,5,random_walk,2022-04-13,1.0,0.018634946454518492,0.0,0.02532097,-0.011913407252697426
SPY,5,random_walk,2022-04-14,1.0,0.018634946454518492,0.0,0.03547195,-0.027206261859473477
SPY,5,random_walk,2022-04-18,1.0,0.018634946454518492,0.0,0.035937577,-0.021836325421455666
SPY,5,random_walk,2022-04-19,1.0,0.018634946454518492,0.0,0.04357466,-0.0672384635273136
SPY,5,random_walk,2022-04-20,1.0,0.018634946454518492,0.0,0.043658737,-0.06368870954252338
SPY,5,random_walk,2022-04-21,1.0,0.018634946454518492,0.0,0.047972582,-0.023676852884195698
SPY,5,random_walk,2022-04-22,1.0,0.018634946454518492,0.0,0.054269757,-0.03350968686442276
