ticker,horizon,variant,dm_statistic,dm_p_value,mean_loss_diff
GS,5,early_fusion,-2.4241226306411185,0.015706288176707606,-0.0017632224863787752
GS,5,late_fusion,-2.125194056531199,0.0340701425581138,-0.0015401374347162589
GS,5,cross_attention,-1.175303757621229,0.24044398435081082,-0.000853088593495697
GS,5,text_only,1.344290861677122,0.17947636451609883,0.0020057740337955116
GS,20,early_fusion,-2.2998037059914664,0.02190628020353369,-0.00025029094330554605
GS,20,late_fusion,3.3086012670983473,0.001011230868653401,0.00040632191708949637
GS,20,cross_attention,0.48662949084169754,0.6267526900400018,6.271986959046496e-05
GS,20,text_only,3.1609485826215384,0.0016763887845832048,0.007710941127778289
GS,60,early_fusion,-1.3336954181462666,0.183102533776075,-0.0002174469556841115
GS,60,late_fusion,-0.5010705977522313,0.6166115606508225,-0.00011041640958071096
GS,60,cross_attention,1.402560038713367,0.1615645070345182,0.0006084073224950702
GS,60,text_only,2.828850438245161,0.004919208359149163,0.0008073196431833834
KO,5,early_fusion,3.77942042524127,0.0001765568606051371,7.681858376226682e-05
KO,5,late_fusion,6.380949196244879,4.081559534796497e-10,0.0005224147045304069
KO,5,cross_attention,5.937939200059257,5.472341246814949e-09,0.00030202125324896425
KO,5,text_only,8.455100345879972,2.220446049250313e-16,0.00038441622449857
KO,20,early_fusion,-0.81731066003629,0.414174021842193,-9.412796380086071e-05
KO,20,late_fusion,5.903665425269948,6.910877203836208e-09,0.00129102017512918
KO,20,cross_attention,3.028733514265947,0.002593957729630114,0.001460415570401189
KO,20,text_only,3.3535125640980494,0.0008638688093640656,0.006670005682501348
KO,60,early_fusion,-0.6278298066035685,0.5304925410427759,-0.00011184072130255429
KO,60,late_fusion,0.7505661035466522,0.4533783241594689,0.0003597646189140617
KO,60,cross_attention,1.90895485291891,0.057020925205749196,0.001641881398586985
KO,60,text_only,2.674670304577649,0.007803385315096278,0.005617479104455143
QQQ,5,early_fusion,-0.991115869537356,0.3221181679085403,-0.00013127491638657577
QQQ,5,late_fusion,-1.2808858036573492,0.2008396878007237,-0.00015488646983148247
QQQ,5,cross_attention,-0.9479054427386994,0.3436448334591311,-0.00011848245859031041
QQQ,5,text_only,1.9787580307272934,0.04840273063979739,0.00031236405822319567
QQQ,20,early_fusion,1.7143882346699828,0.08713102441085319,0.0007679190975421058
QQQ,20,late_fusion,2.251167213033544,0.024846232806421842,0.0014141468967996185
QQQ,20,cross_attention,2.83921465438437,0.004722768531463917,0.001310777055991379
QQQ,20,text_only,3.28973202527706,0.0010798478629712172,0.0021469087714038456
QQQ,60,early_fusion,1.454859435993852,0.14653370606399596,0.0007427256265162155
QQQ,60,late_fusion,2.5255755540244222,0.011956665571624558,0.009164908783299047
QQQ,60,cross_attention,1.992712226815423,0.04700783210687054,0.0043146336273173005
QQQ,60,text_only,4.215650521557006,3.115687209520601e-05,0.00224901593221492
SPY,5,early_fusion,-2.361073587616843,0.018612646921622344,-0.00019608128007558493
SPY,5,late_fusion,-0.8118032106283918,0.41729873836152764,-7.693164350855326e-05
SPY,5,cross_attention,-0.09701665642059065,0.9227528352021621,-9.413920056039652e-06
SPY,5,text_only,2.272448175680911,0.023491834506023324,0.0002621434403460313
SPY,20,early_fusion,2.454170138903416,0.014490611940512599,0.0003366005592660517
SPY,20,late_fusion,4.174203111783817,3.577063206483544e-05,0.0015113634659916512
SPY,20,cross_attention,6.61223869327077,1.0522938076462651e-10,0.0005676037211016601
SPY,20,text_only,4.867888734049112,1.5530317265533e-06,0.002112327178349225
SPY,60,early_fusion,1.8775475771163324,0.06120883232755836,0.001058243452615161
SPY,60,late_fusion,2.5640033575529824,0.010730960867040729,0.005006849031219109
SPY,60,cross_attention,2.0888184357788773,0.03738899259487294,0.003043877882960085
SPY,60,text_only,2.9750008115679463,0.0031170599973988633,0.006556127909502146
