ticker,horizon,variant,n,accuracy,f1,cohen_kappa,rmse_rv,mae_rv,roc_auc,sharpe_ratio,sortino_ratio,pt_p_value,umbral_calibrado,accuracy_calibrado,f1_calibrado,cohen_kappa_calibrado,sharpe_ratio_calibrado,sortino_ratio_calibrado,pt_p_value_calibrado,colapsado_05,colapsado_cal
GS,5,cross_attention,491,0.5091649694501018,0.6747638326585695,0.0,0.033758364617824554,0.02846946194767952,0.4988547717842323,0.0580679039179126,0.08041529267966331,,0.5306196442017188,0.5010183299389002,0.5297504798464492,0.00013298867102751188,0.012037144476089816,0.016753427910994215,0.49881884101228646,True,False
GS,5,early_fusion,491,0.5091649694501018,0.6747638326585695,0.0,0.01514903549104929,0.01208760216832161,0.5462904564315353,0.0580679039179126,0.08041529267966331,,0.5121710890459146,0.5234215885947047,0.4,0.05429253436496817,0.6725014763069088,1.055690653194377,0.08940478569979482,True,False
GS,5,late_fusion,491,0.48676171079429736,0.625,-0.04018427601049157,0.021273888647556305,0.01575295813381672,0.5001659751037344,0.01044007292460129,0.01464481850536027,0.8971851929986367,0.5259164115677961,0.5132382892057027,0.4989517819706499,0.027819430521841992,0.2839091129484417,0.41158849551471705,0.2676998281000996,False,False
GS,5,price_only,491,0.5824847250509165,0.6279491833030852,0.16149482260227765,0.044639844447374344,0.024852190166711807,0.6094439834024896,1.211027843058672,1.9917208987744002,0.00012477821897538544,0.5726679989442169,0.5682281059063137,0.5450643776824035,0.13835405526215583,0.7715352614931829,1.1924587437278111,0.0009722665350704318,False,False
GS,5,text_only,491,0.49287169042769857,0.642754662840746,-0.029748919790780537,0.06323361396789551,0.02644195593893528,0.5017759336099585,-0.13753293397985744,-0.18759796924930325,0.872425131825835,0.5250296592712402,0.5112016293279023,0.574468085106383,0.01737767252593303,0.1786829221010361,0.25804132474712366,0.3447947997597911,False,False
GS,20,cross_attention,461,0.4945770065075922,0.5961871750433275,0.01630141126262674,0.024882547557353973,0.01940801367163658,0.5256047398015019,0.13708542900658452,0.2108330986015808,0.3326036037492264,0.5818311022273426,0.5184381778741866,0.1956521739130435,-0.0007040187738340808,-0.10121020438165883,-0.13608448651044874,0.5088357051561414,False,False
GS,20,early_fusion,461,0.4750542299349241,0.6441176470588236,0.0,0.017496582120656967,0.015326189808547497,0.5186233442771425,0.15969271796873996,0.2511140699718625,,0.540380611501891,0.48590021691973967,0.5519848771266541,-0.010805909944582748,0.011189007566579413,0.016372055977784045,0.5994873743875513,True,False
GS,20,late_fusion,461,0.48156182212581344,0.6416791604197901,0.009742681754042248,0.031028104946017265,0.026016144081950188,0.5479640741160043,0.18730482252978753,0.2947078306752515,0.2536323534901216,0.5697173645784115,0.5509761388286334,0.4759493670886076,0.0912320131038884,0.48648322843335995,0.7692514654097592,0.02291984673621872,False,False
GS,20,price_only,461,0.5032537960954447,0.650381679389313,0.04881652806184511,0.02358858659863472,0.019018542021512985,0.5941356277595381,0.2701192750731482,0.4299739769331745,0.007704195247837942,0.5029950737953186,0.5813449023861171,0.6069246435845214,0.1701441029706664,0.8879573080198123,1.5818988572232637,8.634387176154057e-05,False,False
GS,20,text_only,461,0.4750542299349241,0.6420118343195266,-0.0008253341706287998,0.09092503786087036,0.041378624737262726,0.4813766557228574,0.1340082825019673,0.2077380025908081,0.5400075694990946,0.5497222750865179,0.4945770065075922,0.41012658227848103,-0.022912758197072502,-0.10093274522852773,-0.13852744726564925,0.6919936903324592,False,False
